naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2411,14.5,700000.0,,1.9912,0.01074,-0.1006,185.4003724394786,True,0.0045429,0.019596,0.74147
2411,15.0,700000.0,,2.0648,0.01091,-0.1098,189.25756186984418,True,0.0045429,0.019596,0.6908
2411,15.5,700000.0,,2.142,0.0111,-0.1214,192.97297297297297,True,0.0045429,0.019596,0.64009
2412,6.0,700000.0,,0.9747,0.0051,-0.0622,191.1176470588235,True,,,
2412,6.5,700000.0,,0.998,0.00699,-0.0575,142.77539341917026,True,,,
2412,7.0,700000.0,,1.0725,0.00677,-0.0612,158.4194977843427,True,,,
2412,7.5,700000.0,,1.1139,0.00751,-0.059,148.32223701731024,True,,,
2412,8.0,700000.0,,1.1712,0.00772,-0.0594,151.7098445595855,True,0.040037,0.071695,
2412,8.5,700000.0,,1.2296,0.0079,-0.0601,155.64556962025316,True,0.030778,0.061067,
2412,9.0,700000.0,,1.3022,0.00782,-0.0647,166.52173913043478,True,0.023438,0.051723,
2412,9.5,700000.0,,1.3501,0.00818,-0.063,165.04889975550122,True,0.019385,0.047529,
2412,10.0,700000.0,,1.4199,0.00824,-0.0671,172.31796116504853,True,0.01588,0.043639,
2412,10.5,700000.0,,1.4732,0.00845,-0.0668,174.3431952662722,True,0.014306,0.036706,
2412,11.0,700000.0,,1.5385,0.00848,-0.0698,181.42688679245285,True,0.011474,0.033626,0.9916
2412,11.5,700000.0,,1.6045,0.00865,-0.0735,185.4913294797688,True,0.010201,0.033626,0.97291
2412,12.0,700000.0,,1.6668,0.00889,-0.0769,187.49156355455568,True,0.010201,0.030778,0.94223
2412,12.5,700000.0,,1.7313,0.00884,-0.0802,195.84841628959276,True,0.0090172,0.028142,0.91707
2412,13.0,700000.0,,1.7865,0.00919,-0.0827,194.39608269858542,True,0.0079165,0.028142,0.87397
2412,13.5,700000.0,,1.8531,0.00938,-0.0883,197.5586353944563,True,0.0068954,0.025701,0.83917
2412,14.0,700000.0,,1.9224,0.00936,-0.0939,205.3846153846154,True,0.0068954,0.025701,0.79554
2412,14.5,700000.0,,1.9917,0.00954,-0.1014,208.77358490566039,True,0.0068954,0.023438,0.75182
2412,15.0,700000.0,,2.0615,0.00977,-0.109,211.0030706243603,True,0.0068954,0.023438,0.69928
2412,15.5,700000.0,ayashii,2.1605,0.00881,-0.121,245.2326901248581,True,0.0059508,0.023438,0.6467
2413,6.0,700000.0,,0.9817,0.00468,-0.0629,209.76495726495727,True,,,
2413,6.5,700000.0,,1.0207,0.00572,-0.0603,178.44405594405592,True,,,
2413,7.0,700000.0,,1.0856,0.00592,-0.0626,183.37837837837836,True,,,
2413,7.5,700000.0,,1.1226,0.00677,-0.0611,165.81979320531758,True,,,
