naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2409,11.5,750000.0,,1.5706,0.01264,-0.0607,124.25632911392405,True,0.0028102,0.017063,
2409,12.0,750000.0,,1.6404,0.01359,-0.0657,120.70640176600442,True,0.0028102,0.017063,0.99205
2409,12.5,750000.0,,1.7039,0.01331,-0.0685,128.01652892561984,True,0.0028102,0.01476,0.95808
2409,13.0,750000.0,ayashii,9.693,0.00107,-2.3875,9058.878504672897,True,0.0028102,0.01476,0.91148
2409,13.5,750000.0,,1.8681,0.01429,-0.0998,130.72778166550034,True,0.0021258,0.01476,0.85662
2409,14.0,750000.0,,2.0378,0.01837,-0.1487,110.93086554164397,True,0.0021258,0.01476,0.79378
2409,14.5,750000.0,,2.2017,0.01986,-0.1798,110.86102719033234,True,0.0021258,0.01476,0.72294
2409,15.0,750000.0,ayashii,12.2913,0.00099,-3.0624,12415.454545454546,True,0.0021258,0.01476,0.64411
2409,15.5,750000.0,,2.5883,0.0088,-0.2297,294.12499999999994,True,0.0021258,0.01476,0.58102
2409,-6.0,1000000.0,,-0.4743,0.01043,-0.0447,-45.47459252157239,True,,,0.89582
2409,-5.5,1000000.0,,-0.399,0.0091,-0.0501,-43.84615384615385,True,0.89582,0.99205,
2409,-5.0,1000000.0,,-0.3456,0.0089,-0.0481,-38.831460674157306,True,0.89582,0.97988,
2409,-4.5,1000000.0,,-0.2828,0.00886,-0.0488,-31.918735891647856,True,0.88799,0.97293,
2409,-4.0,1000000.0,,-0.2292,0.00811,-0.0485,-28.261405672009865,True,0.88799,0.95808,
2409,-3.5,1000000.0,,-0.164,0.00788,-0.0498,-20.812182741116754,True,0.88015,0.94269,
2409,-3.0,1000000.0,,-0.1063,0.00746,-0.0495,-14.249329758713138,True,0.87231,0.9193,
2409,-2.5,1000000.0,,-0.0543,0.00703,-0.049,-7.7240398293029875,True,,,
2409,-2.0,1000000.0,,-0.0073,0.00645,-0.0469,-1.1317829457364341,True,,,
2409,-1.5,1000000.0,,0.0384,0.00603,-0.0446,6.368159203980099,True,,,
2409,-1.0,1000000.0,,0.1221,0.00584,-0.0511,20.907534246575345,True,,,
2409,-0.5,1000000.0,,0.1867,0.00512,-0.0532,36.46484375,True,,,
2409,0.0,1000000.0,,0.2418,0.00473,-0.0527,51.120507399577164,True,,,
2409,0.5,1000000.0,,0.3136,0.00451,-0.0562,69.53436807095343,True,,,
2409,1.0,1000000.0,,0.384,0.00484,-0.0594,79.33884297520662,True,,,
2409,1.5,1000000.0,,0.4383,0.00468,-0.058,93.65384615384616,True,,,
2409,2.0,1000000.0,,0.5446,0.00488,-0.0693,111.59836065573771,True,,,
2409,2.5,1000000.0,,0.5866,0.00507,-0.0663,115.70019723865879,True,,,
2409,3.0,1000000.0,,0.6507,0.00536,-0.0683,121.39925373134326,True,,,
2409,3.5,1000000.0,,0.6976,0.0059,-0.0667,118.23728813559322,True,,,
2409,4.0,1000000.0,,0.7412,0.00658,-0.0644,112.64437689969604,True,,,
2409,4.5,1000000.0,,0.7759,0.00779,-0.0605,99.602053915276,True,,,
2409,5.0,1000000.0,,0.8372,0.00622,-0.0591,134.59807073954985,True,,,
2409,5.5,1000000.0,,0.8862,0.00742,-0.0591,119.43396226415094,True,,,
2409,6.0,1000000.0,,0.9293,0.00819,-0.0559,113.46764346764348,True,0.022651,0.044122,
2409,6.5,1000000.0,,0.9843,0.00844,-0.0554,116.62322274881517,True,0.01476,0.038906,
2409,7.0,1000000.0,,1.0433,0.00857,-0.0558,121.73862310385064,True,0.010924,0.02985,
2409,7.5,1000000.0,,1.0956,0.00928,-0.0554,118.06034482758619,True,0.0078987,0.026028,
2409,8.0,1000000.0,,1.1378,0.00983,-0.0526,115.74771108850457,True,0.0066291,0.022651,
2409,8.5,1000000.0,,1.1991,0.00991,-0.053,120.99899091826438,True,0.0054979,0.019678,
2409,9.0,1000000.0,,1.2598,0.01015,-0.0537,124.11822660098524,True,0.0044915,0.017063,
2409,9.5,1000000.0,,1.3247,0.01043,-0.0556,127.00862895493768,True,0.0035979,0.017063,
2409,10.0,1000000.0,,1.3842,0.01057,-0.0562,130.95553453169347,True,0.0035979,0.01476,
2409,10.5,1000000.0,,1.4436,0.0109,-0.0575,132.44036697247705,True,0.0035979,0.01476,
2409,11.0,1000000.0,,1.504,0.01121,-0.0589,134.16592328278324,True,0.0028102,0.01476,
2409,11.5,1000000.0,,1.5652,0.01157,-0.0609,135.28089887640448,True,0.0028102,0.012726,
2409,12.0,1000000.0,,1.6272,0.01182,-0.0631,137.66497461928932,True,0.0028102,0.012726,
2409,12.5,1000000.0,,1.6897,0.01201,-0.0659,140.69109075770191,True,0.0028102,0.012726,0.97988
2409,13.0,1000000.0,,1.7516,0.01212,-0.0697,144.5214521452145,True,0.0028102,0.012726,0.93491
2409,13.5,1000000.0,,1.819,0.01215,-0.0745,149.71193415637862,True,0.0021258,0.012726,0.88799
2409,14.0,1000000.0,,1.8927,0.01297,-0.0867,145.92906707787202,True,0.0021258,0.012726,0.83307
2409,14.5,1000000.0,,1.9617,0.01309,-0.0954,149.86249045072574,True,0.0021258,0.012726,0.77018
2409,15.0,1000000.0,,2.0287,0.01312,-0.0989,154.62652439024393,True,0.0021258,0.010924,0.6993
2409,15.5,1000000.0,,2.1708,0.0146,-0.1476,148.6849315068493,True,0.0021258,0.010924,0.63623
2410,-6.0,500000.0,,-0.5853,0.0104,-0.0285,-56.27884615384616,True,,,0.83768
